Textbox147,Textbox148,Textbox152,Table5Title_tbx3,Table5Title_tbx4,Textbox154,Textbox146,Textbox159,Table5Title_tbx2,Table5Title_tbx6
"Pumpkin: U.S. imports by value ($1,000)","Pumpkin: U.S. imports by volume (1,000 pounds)",Pumpkin: U.S. imports unit value ($ per pound),Pumpkin: U.S. import sources by value,Pumpkin: U.S. import sources by volume,"Pumpkin: U.S. exports by value ($1,000) ","Pumpkin: U.S. exports by volume (1,000 pounds)",Pumpkin: U.S. exports by unit value ($ per pound),Pumpkin: U.S. export destinations by value,Pumpkin: U.S. export destinations by volume

Textbox119,Textbox131,Textbox21,qq3,Textbox23,Textbox124,gen val mo_label,gen val mo_Chart4_CategoryGroup_label,gen val mo_Chart4_CategoryGroup_Chart4_CategoryGroup1_label,gen val mo_Chart4_CategoryGroup_Chart4_CategoryGroup1_Value_Y,stat_year3,gen_qty_mo8,gen_qty_mo9,gen_qty_yr3
,,,,,,gen val mo,2018,,813.371,,,,
,,,,,,gen val mo,2018,,576.978,,,,
,,,,,,gen val mo,2018,,518.306,,,,
,,,,,,gen val mo,2018,,406.918,,,,
,,,,,,gen val mo,2018,,397.867,,,,
,,,,,,gen val mo,2018,,470.814,,,,
,,,,,,gen val mo,2018,,334.615,,,,
,,,,,,gen val mo,2018,,728.577,,,,
,,,,,,gen val mo,2018,,2830.771,,,,
,,,,,,gen val mo,2018,,4101.542,,,,
,,,,,,gen val mo,2018,,1196.511,,,,
,,,,,,gen val mo,2018,,860.776,,,,
,,,,,,gen val mo,2019,,559.06,,,,
,,,,,,gen val mo,2019,,488.371,,,,
,,,,,,gen val mo,2019,,461.45,,,,
,,,,,,gen val mo,2019,,729.055,,,,
,,,,,,gen val mo,2019,,742.027,,,,
,,,,,,gen val mo,2019,,486.968,,,,
,,,,,,gen val mo,2019,,657.981,,,,
,,,,,,gen val mo,2019,,1081.809,,,,
,,,,,,gen val mo,2019,,4628.895,,,,
,,,,,,gen val mo,2019,,5437.181,,,,
,,,,,,gen val mo,2019,,792.096,,,,
,,,,,,gen val mo,2019,,682.724,,,,
,,,,,,gen val mo,2020,,535.209,,,,
,,,,,,gen val mo,2020,,489.458,,,,
,,,,,,gen val mo,2020,,1222.923,,,,
,,,,,,gen val mo,2020,,761.925,,,,
,,,,,,gen val mo,2020,,1048.588,,,,
,,,,,,gen val mo,2020,,629.099,,,,
,,,,,,gen val mo,2020,,667.82,,,,
,,,,,,gen val mo,2020,,782.468,,,,
,,,,,,gen val mo,2020,,7858.725,,,,
,,,,,,gen val mo,2020,,6765.042,,,,
,,,,,,gen val mo,2020,,1068.398,,,,
,,,,,,gen val mo,2020,,949.047,,,,
,,,,,,gen val mo,2021,,831.248,,,,
,,,,,,gen val mo,2021,,932.003,,,,
,,,,,,gen val mo,2021,,1083.301,,,,
,,,,,,gen val mo,2021,,771.309,,,,
,,,,,,gen val mo,2021,,620.442,,,,
,,,,,,gen val mo,2021,,679.992,,,,
,,,,,,gen val mo,2021,,535.225,,,,
,,,,,,gen val mo,2021,,672.984,,,,
,,,,,,gen val mo,2021,,7095.906,,,,
,,,,,,gen val mo,2021,,4448.369,,,,
,,,,,,gen val mo,2021,,959.977,,,,
,,,,,,gen val mo,2021,,994.694,,,,
,,,,,,gen val mo,2022,,633.619,,,,
,,,,,,gen val mo,2022,,716.797,,,,
,,,,,,gen val mo,2022,,467.547,,,,
,,,,,,gen val mo,2022,,431.151,,,,
,,,,,,gen val mo,2022,,544.496,,,,
,,,,,,gen val mo,2022,,563.651,,,,
,,,,,,gen val mo,2022,,643.873,,,,
,,,,,,gen val mo,2022,,1337.225,,,,
,Fresh or chilled¹,Market year*,Quarter 1,Jan,Q1,,,,,2022,634,"1,818","5,338"
,Fresh or chilled¹,Market year*,Quarter 1,Feb,Q1,,,,,2022,717,"1,818","5,338"
